"","slug_game","medal_type","name","gender","discipline","event","country_code","country_long"
"20482","paris-2024","gold","Summer McINTOSH","W","Swimming","Women's 200m Butterfly","CAN","Canada"
"20483","paris-2024","silver","Regan SMITH","W","Swimming","Women's 200m Butterfly","USA","United States of America"
"20484","paris-2024","bronze","ZHANG Yufei","W","Swimming","Women's 200m Butterfly","CHN","People's Republic of China"
"20485","paris-2024","gold","Australia","W","Swimming","Women's 4 x 200m Freestyle Relay","AUS","Australia"
"20486","paris-2024","silver","United States of America","W","Swimming","Women's 4 x 200m Freestyle Relay","USA","United States of America"
"20487","paris-2024","bronze","People's Republic of China","W","Swimming","Women's 4 x 200m Freestyle Relay","CHN","People's Republic of China"
"20488","paris-2024","gold","Republic of Korea","X","Archery","Mixed Team","KOR","Republic of Korea"
"20489","paris-2024","silver","Germany","X","Archery","Mixed Team","GER","Germany"
"20490","paris-2024","bronze","United States of America","X","Archery","Mixed Team","USA","United States of America"
"20491","paris-2024","gold","Joshua CHEPTEGEI","M","Athletics","Men's 10,000m","UGA","Uganda"
"20492","paris-2024","silver","Berihu AREGAWI","M","Athletics","Men's 10,000m","ETH","Ethiopia"
"20493","paris-2024","bronze","Grant FISHER","M","Athletics","Men's 10,000m","USA","United States of America"
"20494","paris-2024","gold","People's Republic of China","X","Badminton","Mixed Doubles","CHN","People's Republic of China"
"20495","paris-2024","silver","Republic of Korea","X","Badminton","Mixed Doubles","KOR","Republic of Korea"
"20496","paris-2024","bronze","Japan","X","Badminton","Mixed Doubles","JPN","Japan"
"20497","paris-2024","gold","Joris DAUDET","M","Cycling BMX Racing","Men","FRA","France"
"20498","paris-2024","silver","Sylvain ANDRE","M","Cycling BMX Racing","Men","FRA","France"
"20499","paris-2024","bronze","Romain MAHIEU","M","Cycling BMX Racing","Men","FRA","France"
"20500","paris-2024","gold","Saya SAKAKIBARA","W","Cycling BMX Racing","Women","AUS","Australia"
"20501","paris-2024","silver","Manon VEENSTRA","W","Cycling BMX Racing","Women","NED","Netherlands"
"20502","paris-2024","bronze","Zoe CLAESSENS","W","Cycling BMX Racing","Women","SUI","Switzerland"
"20503","paris-2024","gold","People's Republic of China","M","Diving","Men's Synchronised 3m Springboard","CHN","People's Republic of China"
"20504","paris-2024","silver","Mexico","M","Diving","Men's Synchronised 3m Springboard","MEX","Mexico"
"20505","paris-2024","bronze","Great Britain","M","Diving","Men's Synchronised 3m Springboard","GBR","Great Britain"
"20506","paris-2024","gold","Great Britain","O","Equestrian","Jumping Team","GBR","Great Britain"
"20507","paris-2024","silver","United States of America","O","Equestrian","Jumping Team","USA","United States of America"
"20508","paris-2024","bronze","France","O","Equestrian","Jumping Team","FRA","France"
"20509","paris-2024","gold","Hungary","M","Fencing","Men's Épée Team","HUN","Hungary"
"20510","paris-2024","silver","Japan","M","Fencing","Men's Épée Team","JPN","Japan"
"20511","paris-2024","bronze","Czechia","M","Fencing","Men's Épée Team","CZE","Czechia"
"20512","paris-2024","gold","Teddy RINER","M","Judo","Men +100 kg","FRA","France"
"20513","paris-2024","silver","KIM Minjong","M","Judo","Men +100 kg","KOR","Republic of Korea"
"20514","paris-2024","bronze","Temur RAKHIMOV","M","Judo","Men +100 kg","TJK","Tajikistan"
"20515","paris-2024","bronze","Alisher YUSUPOV","M","Judo","Men +100 kg","UZB","Uzbekistan"
"20516","paris-2024","gold","Beatriz SOUZA","W","Judo","Women +78 kg","BRA","Brazil"
"20517","paris-2024","silver","Raz HERSHKO","W","Judo","Women +78 kg","ISR","Israel"
"20518","paris-2024","bronze","KIM Hayun","W","Judo","Women +78 kg","KOR","Republic of Korea"
"20519","paris-2024","bronze","Romane DICKO","W","Judo","Women +78 kg","FRA","France"
"20520","paris-2024","gold","Ireland","M","Rowing","Lightweight Men's Double Sculls","IRL","Ireland"
"20521","paris-2024","silver","Italy","M","Rowing","Lightweight Men's Double Sculls","ITA","Italy"
"20522","paris-2024","bronze","Greece","M","Rowing","Lightweight Men's Double Sculls","GRE","Greece"
"20523","paris-2024","gold","Great Britain","W","Rowing","Lightweight Women's Double Sculls","GBR","Great Britain"
"20524","paris-2024","silver","Romania","W","Rowing","Lightweight Women's Double Sculls","ROU","Romania"
"20525","paris-2024","bronze","Greece","W","Rowing","Lightweight Women's Double Sculls","GRE","Greece"
"20526","paris-2024","gold","Croatia","M","Rowing","Men's Pair","CRO","Croatia"
"20527","paris-2024","silver","Great Britain","M","Rowing","Men's Pair","GBR","Great Britain"
